H,albedo,diameter_sigma,e,a,i,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_per_s,miss_distance_km,true_label,risk_score
25.63,0.2208857142857142,0.050625,0.2544,1.388,30.15,25.63,0.0198863453,0.04446722,16.5588497541,5031679.77728474,0,2.434604614148269e-05
24.7,0.2208857142857142,0.050625,0.2986,1.203,1.7,24.7,0.0305179233,0.0682401509,15.5618664057,36464891.71296953,0,0.00138422568129669
25.39,0.2208857142857142,0.050625,0.5662,1.919,8.78,25.39,0.0222103282,0.0496638037,13.9987578982,3041147.692900216,0,6.635691933333458e-05
20.85,0.2208857142857142,0.050625,0.7096,1.86,6.28,20.85,0.1797028549,0.4018277992,22.182959458,3683381.686023033,1,0.9809113115187541
24.68,0.2208857142857142,0.050625,0.5053,1.953,9.71,24.68,0.0308003021,0.0688715693,9.8631484964,7292137.013148898,0,0.0005573309326936658
26.03,0.2208857142857142,0.050625,0.0967,1.014,13.24,26.03,0.0165407416,0.0369862226,7.6787418747,16683019.67471913,0,9.59407129878925e-06
26.58,0.2208857142857142,0.050625,0.4548,1.734,6.27,26.58,0.012839703,0.0287104486,8.9828128285,2096099.98017081,0,1.041347630677605e-06
25.9,0.2208857142857142,0.050625,0.2994,1.4,9.18,25.9,0.0175612318,0.0392681082,10.7614171586,25592941.683649205,0,1.148961771382839e-05
27.53,0.2208857142857142,0.050625,0.4221,1.564,9.28,27.53,0.0082900085,0.0185370226,22.3428878662,61697486.49041947,0,2.6833912625962138e-08
22.09,0.2208857142857142,0.050625,0.3783,0.9047,26.06,22.09,0.1015207872,0.2270073813,19.2240909884,18905648.38143234,0,0.6813693270656612
26.4,0.2208857142857142,0.050625,0.2151,1.193,0.62,26.4,0.0139493823,0.0311917671,5.9449354884,52836418.927171454,0,1.637037100265001e-06
24.05,0.2208857142857142,0.050625,0.4922,2.049,7.39,24.05,0.0411675457,0.0920534307,7.5106439776,12482498.003743446,0,0.0038819945133590802
23.9,0.2208857142857142,0.050625,0.3378,0.9732,20.55,23.9,0.04411182,0.0986370281,15.8020969264,39070582.16174429,0,0.007464989556400072
24.74,0.2208857142857142,0.050625,0.4258,1.837,11.73,24.74,0.0299609084,0.0669946278,8.3518086891,11931442.35656778,0,0.00041057595255521655
25.26,0.2208857142857142,0.050625,0.3213,0.8226,21.04,25.26,0.0235806068,0.0527278398,14.4946858932,12027964.622667288,0,0.00012404779960165985
25.91,0.2208857142857142,0.050625,0.264,1.27,10.92,25.91,0.0174805453,0.0390876876,8.2168127923,228225.76248265,0,1.5443560270154402e-05
22.83,0.2208857142857142,0.050625,0.5649,0.7587,29.73,22.83,0.0722029558,0.1614507173,16.675606865,29256449.247763377,0,0.1074734599017376
28.56,0.2208857142857142,0.050625,0.7331,1.887,0.24,28.56,0.0051588747,0.0115355944,22.6995031207,173735.381605991,0,1.5513005234934166e-09
23.43,0.2208857142857142,0.050625,0.2866,1.525,12.0,23.43,0.0547715431,0.1224728936,6.7041888382,19072267.915954977,0,0.03325834620568501
22.45,0.2208857142857142,0.050625,0.2827,0.8973,9.41,22.45,0.086011194,0.1923268766,22.9168121023,73295088.155148,0,0.5176051969145742
23.18,0.2208857142857142,0.050625,0.4467,0.7608,10.67,23.18,0.0614546821,0.1374168468,12.2330783651,63594610.45764471,0,0.05114794604878658
26.42,0.2208857142857142,0.050625,0.5927,2.466,3.49,26.42,0.0138214936,0.0309057992,7.6881809988,2693143.792799128,0,1.0807665568883414e-06
24.68,0.2208857142857142,0.050625,0.6313,2.631,6.01,24.68,0.0308003021,0.0688715693,9.1290174796,6758138.904065095,0,0.00037920124451204263
25.57,0.2208857142857142,0.050625,0.3799,1.43,4.91,25.57,0.0204434871,0.0457130269,8.0964431081,5512279.734500541,0,4.753522475727607e-05
26.61,0.2208857142857142,0.050625,0.5577,1.728,10.88,26.61,0.0126635356,0.0283165265,15.5296737735,224550.980564822,0,1.00476630052909e-06
20.86,0.2208857142857142,0.050625,0.633,2.731,6.14,20.86,0.1788771952,0.3999815682,11.0685256598,21123091.54725817,0,0.9286523725612272
26.43,0.2208857142857142,0.050625,0.128,0.971,2.7,26.43,0.0137579896,0.0307638,2.7874488467,18222682.553456336,0,2.623735599684446e-06
24.46,0.2208857142857142,0.050625,0.1795,1.335,17.58,24.46,0.0340843469,0.0762149166,9.5747979399,20018324.38208158,0,0.0014343896426107403
22.2,0.2208857142857142,0.050625,0.5648,2.204,6.61,22.2,0.096506147,0.2157943048,10.0867730194,10512144.652450675,0,0.5173856634176162
26.35,0.2208857142857142,0.050625,0.2756,1.209,8.46,26.35,0.0142743051,0.0319183166,7.2445983121,6991011.10159101,0,3.014219852399538e-06
26.33,0.2208857142857142,0.050625,0.4892,1.864,0.37,26.33,0.0144063837,0.0322136532,7.8247946491,1041282.960355529,0,2.895416826366103e-06
23.85,0.2208857142857142,0.050625,0.1491,0.9777,16.77,23.85,0.0451393163,0.1009345797,19.0279128779,58948924.25643757,0,0.012846530246923348
23.08,0.2208857142857142,0.050625,0.6528,2.594,5.46,23.08,0.0643509521,0.1438931032,11.4326355868,11560917.005770952,0,0.06718363997229453
20.7,0.2208857142857142,0.050625,0.3458,1.724,18.74,20.7,0.1925550782,0.4305662442,11.522293848,27228068.677872047,0,0.9554119763486779
24.1,0.2208857142857142,0.050625,0.4783,1.103,21.37,24.1,0.040230458,0.0899580388,18.274602859,6945501.724121292,0,0.005929221647742159
18.78,0.2208857142857142,0.050625,0.3322,1.018,26.89,18.78,0.4661814374,1.0424133839,17.5043898385,12546337.77278192,0,0.9824110650825911
23.53,0.2208857142857142,0.050625,0.2704,1.503,28.76,23.53,0.0523064176,0.1169607054,15.4223986971,21836254.961915776,0,0.01885458882398614
22.04,0.2208857142857142,0.050625,0.7701,2.816,5.71,22.04,0.1038855101,0.2322950625,23.0828947973,17330213.4655435,0,0.660580491683784
22.62,0.2208857142857142,0.050625,0.3889,1.406,18.02,22.62,0.079534394,0.1778443116,16.5093019966,22408222.61110279,0,0.31735381000409973
22.43,0.2208857142857142,0.050625,0.3464,1.635,4.92,22.43,0.0868070458,0.1941064553,13.101129605,59133620.74877739,0,0.3743378985307641
26.4,0.2208857142857142,0.050625,0.5237,2.125,0.88,26.4,0.0139493823,0.0311917671,7.1314658535,3233044.869275474,0,1.6731773736699828e-06
27.46,0.2208857142857142,0.050625,0.2003,1.021,1.5,27.46,0.0085616008,0.0191443215,14.9589829391,47499606.52865705,0,7.704034173439746e-08
26.33,0.2208857142857142,0.050625,0.3749,0.9728,1.67,26.33,0.0144063837,0.0322136532,9.5944349644,49729029.56671141,0,2.261196951850004e-06
24.84,0.2208857142857142,0.050625,0.3741,1.553,35.6,24.84,0.0286124454,0.0639793729,20.3196916224,9080652.98659328,0,0.0002587531385490469
29.06,0.2208857142857142,0.050625,0.2852,0.8897,0.21,29.06,0.0040978398,0.0091630484,7.5561002034,725099.993262567,0,2.947451482788766e-10
26.5,0.2208857142857142,0.050625,0.0848,1.14,9.02,26.5,0.0133215567,0.0297879063,4.5094400585,36530806.76349979,0,1.177725540028328e-06
23.0,0.2208857142857142,0.050625,0.1365,1.32,21.92,23.0,0.0667659413,0.1492931834,11.1127841953,54791570.39723121,0,0.07130983606285383
28.33,0.2208857142857142,0.050625,0.1182,0.9171,3.85,28.33,0.0057352846,0.0128244863,4.111911891,424322.674661353,0,3.838273437675242e-09
19.87,0.2208857142857142,0.050625,0.8902,2.54,21.1,19.87,0.2821986791,0.6310154296,37.0602656037,26859482.96817828,0,0.985967745028251
26.02,0.2208857142857142,0.050625,0.4053,1.676,0.74,26.02,0.0166170902,0.0371569432,5.9028486215,2187915.418566931,0,9.334771677953204e-06
25.37,0.2208857142857142,0.050625,0.4556,2.006,7.22,25.37,0.0224158379,0.0501233372,6.2540075052,13368128.613983696,0,4.334274939148244e-05
23.6,0.2208857142857142,0.050625,0.6473,2.65,16.57,23.6,0.0506471459,0.1132504611,13.9079303614,6710319.496125985,0,0.010295999704353243
27.5,0.2208857142857142,0.050625,0.252,1.185,3.44,27.5,0.008405334,0.0187948982,10.904761728,22274384.816868145,0,6.155440558116123e-08
24.82,0.2208857142857142,0.050625,0.499,2.031,12.66,24.82,0.0288771931,0.0645713667,9.8692928242,8069202.564196986,0,0.00028571044494911434
27.25,0.2208857142857142,0.050625,0.5954,1.557,8.9,27.25,0.0094309399,0.0210882227,18.1163747149,815973.159554919,0,1.304743177740414e-07
26.91,0.2208857142857142,0.050625,0.4554,1.748,6.75,26.91,0.0110294785,0.0246626636,9.4200971558,4760501.62396556,0,2.995140144355797e-07
26.97,0.2208857142857142,0.050625,0.2913,1.206,8.33,26.97,0.0107288945,0.0239905375,7.2110708452,58445657.28979851,0,1.1924886303397387e-07
22.6,0.2208857142857142,0.050625,0.6441,0.8303,6.64,22.6,0.0802703167,0.1794898848,14.333534337,53762184.13268849,0,0.25703576752757773
26.14,0.2208857142857142,0.050625,0.1571,1.204,12.8,26.14,0.0157237082,0.0351592805,10.3336847457,32598883.939207897,0,4.8685724616255315e-06
24.49,0.2208857142857142,0.050625,0.5507,1.507,25.93,24.49,0.0336166921,0.0751692087,20.3170159726,5465517.48982936,0,0.0011124995768128213
27.15,0.2208857142857142,0.050625,0.3413,1.456,11.71,27.15,0.0098754064,0.02208208,9.4410411306,1999501.04516293,0,1.4327127262394307e-07
26.4,0.2208857142857142,0.050625,0.3335,1.184,6.41,26.4,0.0139493823,0.0311917671,8.7534146922,71506094.21650895,0,8.436246648437366e-07
27.1,0.2208857142857142,0.050625,0.2933,1.217,9.13,27.1,0.0101054342,0.0225964377,6.5690297465,45082580.52108578,0,8.688551298662823e-08
25.16,0.2208857142857142,0.050625,0.2422,1.243,7.37,25.16,0.0246919266,0.0552128263,7.4560054041,7393362.112688658,0,0.00022609498513341973
24.87,0.2208857142857142,0.050625,0.2055,1.156,18.17,24.87,0.0282198679,0.063101543,10.727400615,6427843.681744831,0,0.0005008367184720367
28.26,0.2208857142857142,0.050625,0.5454,1.958,0.69,28.26,0.0059231806,0.0132446345,11.7447060616,2259709.306353306,0,2.783117664643826e-09
26.18,0.2208857142857142,0.050625,0.6762,2.704,1.87,26.18,0.0154367182,0.0345175513,13.1835858453,1056587.211410991,0,3.2530596497456015e-06
26.0,0.2208857142857142,0.050625,0.1024,1.125,10.16,26.0,0.0167708462,0.0375007522,12.7247314194,49934823.84665734,0,8.982624503894883e-06
22.7,0.2208857142857142,0.050625,0.3368,0.9536,20.73,22.7,0.0766575574,0.1714115092,15.3755260533,40089856.896816686,0,0.22328447102607057
23.97,0.2208857142857142,0.050625,0.63,2.486,5.03,23.97,0.0427124985,0.0955080501,11.1950603536,7918213.91271917,0,0.005133124170885817
19.12,0.2208857142857142,0.050625,0.8056,2.545,32.61,19.12,0.3986162293,0.8913329856,35.2242519185,73850570.0143425,0,0.9363732466465631
20.05,0.137,0.05,0.0828,0.9598,7.45,20.05,0.2597496533,0.580817882,7.4511220223,26121615.4998212,1,0.9958080013028949
25.1,0.2208857142857142,0.050625,0.3412,1.386,1.76,25.1,0.0253837029,0.0567596853,17.1434128424,47817840.01879432,0,0.0002689443068968721
28.15,0.2208857142857142,0.050625,0.3791,1.618,4.2,28.15,0.0062309602,0.0139328506,13.4338227841,42118893.40848861,0,2.9194475891370518e-09
26.3,0.2208857142857142,0.050625,0.3099,0.9481,6.47,26.3,0.0146067964,0.0326617897,8.8142905836,16126990.676274888,0,3.977398191410206e-06
25.19,0.2208857142857142,0.050625,0.1394,1.024,18.66,25.19,0.0243531406,0.0544552779,10.9537147015,5753816.281621968,0,0.00019909231744564345
19.91,0.2208857142857142,0.050625,0.3649,1.146,22.86,19.91,0.2770479727,0.6194981001,17.7896582009,14394302.802820493,1,0.9901004378528351
26.36,0.2208857142857142,0.050625,0.4954,1.935,10.12,26.36,0.0142087207,0.0317716653,10.0568477667,5498927.556131135,0,1.6167929926314132e-06
25.32,0.2208857142857142,0.050625,0.2802,1.46,4.63,25.32,0.0229379698,0.0512908597,4.3221757037,7798278.368221918,0,0.0001006272638188955
23.61,0.2208857142857142,0.050625,0.3299,1.495,20.25,23.61,0.0504144434,0.1127301225,11.3474819907,17878504.304724973,0,0.016629562370101516
26.9,0.2208857142857142,0.050625,0.3496,0.8902,4.65,26.9,0.0110803882,0.0247765013,7.8698202898,28473593.241880767,0,3.5539713199968034e-07
23.6,0.2208857142857142,0.050625,0.5866,2.48,17.52,23.6,0.0506471459,0.1132504611,13.6327134848,14880072.12939393,0,0.009943272021903565
18.89,0.2208857142857142,0.050625,0.266,0.7765,27.84,18.89,0.4431543091,0.9909231597,13.9559151812,4150006.359821304,1,0.9863077818563172
26.7,0.2208857142857142,0.050625,0.2492,0.9236,5.34,26.7,0.0121494041,0.0271668934,9.8537887876,14737221.452446245,0,1.2428932363453987e-06
25.2,0.2208857142857142,0.050625,0.2782,0.8818,0.31,25.2,0.0242412481,0.0542050786,13.3917922168,27101471.65990199,0,0.0003274936099858896
25.88,0.2208857142857142,0.050625,0.2925,0.8145,6.24,25.88,0.0177237239,0.0396314515,9.5627659626,20325461.88404541,0,1.9256426627687825e-05
24.17,0.2208857142857142,0.050625,0.5215,2.52,1.29,24.17,0.0389542616,0.087104377,3.9561075322,29915624.94534732,0,0.0015457292288234064
25.42,0.2208857142857142,0.050625,0.4127,0.8664,11.52,25.42,0.0219055911,0.0489823908,11.6124467725,3860974.703023353,0,9.18926853797789e-05
24.53,0.2208857142857142,0.050625,0.089,1.007,6.69,24.61,0.0318093633,0.0711278987,4.1306664373,17572956.384848397,0,0.0017231263977498844
19.43,0.296,0.04,0.4784,0.8883,19.62,19.43,0.3455850738,0.7727517171,16.3012879468,8490508.98676425,0,0.9856046833960228
23.12,0.2208857142857142,0.050625,0.2276,1.248,18.61,23.12,0.0631764148,0.1412667581,9.6708911552,24935803.374416582,0,0.08106739986689418
23.3,0.2208857142857142,0.050625,0.6096,0.7489,10.55,23.3,0.058150704,0.130028927,14.3456596643,19789114.69944816,0,0.06916913519629687
27.0,0.2208857142857142,0.050625,0.2111,1.318,2.64,27.0,0.0105816886,0.023661375,2.726635711,7480777.32421596,0,2.99981821324285e-07
25.75,0.2208857142857142,0.050625,0.1333,0.8943,5.17,25.75,0.0188171989,0.042076536,3.4747454978,3348862.627682467,0,3.724803697849415e-05
20.01,0.2208857142857142,0.050625,0.182,1.124,14.56,20.02,0.263363131,0.5888978636,8.8196122053,9365762.381717063,0,0.9917545372640331
23.47,0.2208857142857142,0.050625,0.112,0.9917,21.93,23.47,0.0537718498,0.1202375114,11.8894074986,22378852.689596742,0,0.041092321980621425
22.24,0.2208857142857142,0.050625,0.6323,1.078,5.6,22.24,0.0947447113,0.2118556149,18.5610690382,16319532.993464522,0,0.7088530424988383
25.29,0.2208857142857142,0.050625,0.4459,1.58,6.94,25.29,0.0232570687,0.0520043867,14.7169487738,18154340.18772661,0,0.00011872798021952796
27.96,0.2208857142857142,0.050625,0.3938,1.672,4.59,27.96,0.0068007213,0.0152068751,5.6181923275,3851015.179948742,0,6.497028532759014e-09
25.41,0.2208857142857142,0.050625,0.0495,1.089,6.94,25.41,0.0220067027,0.0492084832,4.5206783748,22739454.540486056,0,8.957111108925505e-05
25.63,0.2208857142857142,0.050625,0.2866,1.426,4.75,25.63,0.0198863453,0.04446722,4.2464267286,9281255.05358682,0,3.2717945983079344e-05
25.51,0.2208857142857142,0.050625,0.5208,0.7095,8.37,25.51,0.0210162379,0.0469937366,11.118865325,10787910.628367657,0,5.90990972157404e-05
19.77,0.2208857142857142,0.050625,0.2769,0.8735,10.23,19.77,0.2954982931,0.6607542706,23.4502826952,73541062.29868616,0,0.9925229359670872
29.45,0.2208857142857142,0.050625,0.2059,1.131,13.87,29.45,0.0034241673,0.0076566709,10.5425639496,37989.915333103,0,4.4125158535079244e-11
24.4,0.2208857142857142,0.050625,0.217,0.8377,13.08,24.4,0.0350392641,0.0783501764,12.8278159542,51993480.15315757,0,0.0017855350286763434
24.84,0.2208857142857142,0.050625,0.1343,1.266,13.53,24.84,0.0286124454,0.0639793729,7.4375236135,67730585.46476682,0,0.00019160884287016295
26.87,0.2208857142857142,0.050625,0.1506,1.032,4.17,26.87,0.0112345318,0.0251211767,2.9878578154,10527786.515979156,0,5.42785875156887e-07
27.0,0.2208857142857142,0.050625,0.6155,2.073,1.59,27.0,0.0105816886,0.023661375,15.5942118753,1431516.663661473,0,2.9907869223406646e-07
26.5,0.2208857142857142,0.050625,0.4155,0.8431,10.54,26.5,0.0133215567,0.0297879063,20.7039822274,73826392.17115076,0,1.0585459129050884e-06
24.04,0.2208857142857142,0.050625,0.0959,0.9908,19.77,24.04,0.0413575665,0.0924783301,13.2835034952,45480625.791329294,0,0.005624225742548243
22.08,0.2208857142857142,0.050625,0.5198,1.556,14.69,22.08,0.1019893859,0.2280551997,20.9706263115,26188867.970269047,0,0.6917275144833935
26.53,0.2208857142857142,0.050625,0.2587,1.316,4.02,26.53,0.0131387781,0.0293792009,5.0751430847,3384359.539391381,0,1.7910807338657604e-06
24.77,0.2208857142857142,0.050625,0.4284,0.8126,2.5,24.77,0.0295498293,0.0660754271,10.194331949,6302042.928357424,0,0.0011962523641192563
21.8,0.2208857142857142,0.050625,0.3462,1.171,26.5,21.8,0.1160259082,0.2594418179,16.98171255,40281446.60468974,0,0.6986203074852249
25.03,0.2208857142857142,0.050625,0.1522,0.9452,13.21,25.03,0.0262153087,0.0586192124,8.566371362,27473306.35109621,0,0.00026170017791834414
25.5,0.2208857142857142,0.050625,0.3327,1.278,2.4,25.5,0.0211132445,0.0472106499,8.4560649009,3729881.895065122,0,8.564773272504008e-05
25.2,0.2208857142857142,0.050625,0.2509,1.322,6.6,25.2,0.0242412481,0.0542050786,17.8360300648,68421299.95377605,0,0.00012783015044791956
24.28,0.2208857142857142,0.050625,0.2478,1.341,12.6,24.28,0.0370301078,0.0828018383,7.8714833031,2675255.986528766,0,0.003665332679762221
28.71,0.2208857142857142,0.050625,0.2044,1.195,1.15,28.71,0.004814542,0.0107656431,6.8525211069,58938723.67135524,0,3.298073545929032e-10
26.75,0.2208857142857142,0.050625,0.1215,1.144,3.61,26.75,0.0118728499,0.0265484994,2.5383491458,5757968.235865735,0,9.162391549455621e-07
20.71,0.2208857142857142,0.050625,0.5718,1.929,8.91,20.71,0.191670368,0.428587972,15.6420094725,23201645.776688367,1,0.9683556963916603
23.82,0.2208857142857142,0.050625,0.4402,0.8212,19.82,23.82,0.0457672667,0.1023387195,12.761702393,11972710.469865344,0,0.011976054043284506
24.3,0.2208857142857142,0.050625,0.3825,1.758,3.94,24.3,0.0366906138,0.0820427065,4.0071364752,15204334.817606444,0,0.0021025186517967683
25.68,0.2208857142857142,0.050625,0.2652,0.988,3.12,25.68,0.0194336768,0.0434550225,5.9277431581,28875545.454976574,0,2.945320177963387e-05
29.49,0.2208857142857142,0.050625,0.0916,1.068,2.84,29.49,0.0033616692,0.0075169209,2.645140072,671017.850013351,0,4.834066469976739e-11
24.7,0.2208857142857142,0.050625,0.3946,1.834,11.63,24.7,0.0305179233,0.0682401509,7.2962081482,17999439.1929134,0,0.0004151751331084154
27.8,0.2208857142857142,0.050625,0.256,1.08,3.38,27.8,0.0073207399,0.016369672,21.8451742674,73671137.69153053,0,1.7534375765381688e-08
24.5,0.2208857142857142,0.050625,0.3533,1.475,1.11,24.5,0.0334622374,0.0748238376,12.9144756493,29666449.048356254,0,0.0021222806917402326
20.71,0.2208857142857142,0.050625,0.7387,1.313,3.92,20.71,0.191670368,0.428587972,23.61028202,10466234.711724248,1,0.9885152538848002
27.23,0.2208857142857142,0.050625,0.1958,0.8721,1.95,27.23,0.0095182033,0.0212833496,3.0042970585,27528954.290371355,0,1.1848208286536833e-07
26.61,0.2208857142857142,0.050625,0.2694,1.028,3.74,26.61,0.0126635356,0.0283165265,4.6165029984,25149395.9669288,0,9.792467258478712e-07
26.93,0.2208857142857142,0.050625,0.3749,1.574,1.11,26.93,0.0109283596,0.0244365549,6.9913476369,4186965.695427977,0,3.9783285335468365e-07
26.33,0.2208857142857142,0.050625,0.1652,1.012,5.49,26.33,0.0144063837,0.0322136532,4.5746169495,8992641.178760419,0,4.0256662935952675e-06
28.86,0.2208857142857142,0.050625,0.1112,0.97,8.55,28.86,0.004493192,0.0100470827,12.7988678374,41110953.70402611,0,3.5860879234353973e-10
24.23,0.2208857142857142,0.050625,0.3124,1.616,19.03,24.23,0.0378926498,0.0847305409,10.5191927112,19876170.44225363,0,0.002127717513246852
26.31,0.2208857142857142,0.050625,0.6305,1.818,8.12,26.31,0.0145396843,0.0325117225,18.0721120943,821197.984842965,0,3.3946169236670035e-06
25.27,0.2208857142857142,0.050625,0.5346,2.151,1.78,25.27,0.0234722638,0.0524855773,7.4350863443,6521689.926185989,0,8.166123840958106e-05
27.25,0.2208857142857142,0.050625,0.1231,1.126,4.19,27.25,0.0094309399,0.0210882227,3.3909259603,355095.22809355,0,1.7063728482667638e-07
25.43,0.2208857142857142,0.050625,0.5613,1.742,19.78,25.43,0.021804944,0.0487573371,18.174873661,3058445.739487677,0,4.783035476280129e-05
23.5,0.2208857142857142,0.050625,0.139,1.195,20.99,23.5,0.0530340723,0.1185877909,18.6824803752,69419945.56144948,0,0.02309770242164631
26.23,0.2208857142857142,0.050625,0.0814,1.074,5.99,26.23,0.0150853356,0.0337318359,3.4379335437,7403425.292127392,0,6.042133206426183e-06
28.69,0.2208857142857142,0.050625,0.1379,0.936,5.12,28.69,0.0048590904,0.0108652564,13.0363947842,44039481.801623344,0,7.484475271488728e-10
18.59,0.2208857142857142,0.050625,0.4125,1.151,3.94,18.6,0.5064714588,1.1325046106,10.1763046198,14819302.572401252,1,0.9841852376670324
27.8,0.2208857142857142,0.050625,0.3393,1.133,3.24,27.8,0.0073207399,0.016369672,7.0238654145,19334957.61685419,0,1.4582682607908734e-08
26.8,0.2208857142857142,0.050625,0.2874,1.441,5.67,26.8,0.0116025908,0.0259441818,18.2997100887,73269220.78353204,0,3.776891664071566e-07
24.37,0.2208857142857142,0.050625,0.1797,1.093,1.8,24.37,0.0355267088,0.079440136,3.0335154405,24625320.16096956,0,0.002834502325817732
24.7,0.2208857142857142,0.050625,0.5203,1.442,2.81,24.7,0.0305179233,0.0682401509,15.2332761476,6592732.473630076,0,0.00134665870658545
25.84,0.2208857142857142,0.050625,0.228,1.225,11.2,25.84,0.0180532326,0.0403682552,6.2375004783,37022749.425696224,0,9.26897302260949e-06
20.54,0.2208857142857142,0.050625,0.6401,2.618,2.99,20.54,0.2072788434,0.4634895841,9.3195372805,6420246.802710491,1,0.9680175546678069
21.68,0.2208857142857142,0.050625,0.3838,0.8741,10.88,21.68,0.1226182113,0.2741826558,25.7630948376,66921797.07203395,0,0.8923653635674971
25.88,0.2208857142857142,0.050625,0.2925,0.8145,6.24,25.88,0.0177237239,0.0396314515,8.3173566881,49668157.47533864,0,1.0167978884693341e-05
26.6,0.2208857142857142,0.050625,0.3084,0.7902,7.74,26.6,0.0127219879,0.0284472297,16.8547879585,46538177.43028861,0,1.3516782960818369e-06
23.67,0.2208857142857142,0.050625,0.3844,1.039,16.99,23.67,0.0490405098,0.1096579137,10.4541511884,41779099.25997568,0,0.0109316862099393
25.7,0.2208857142857142,0.050625,0.5127,1.501,24.52,25.7,0.0192555078,0.0430566244,18.7303118917,16189487.26587778,0,1.4317599012414907e-05
24.04,0.2208857142857142,0.050625,0.3509,1.317,18.22,24.04,0.0413575665,0.0924783301,10.7233243178,70611388.13180687,0,0.0017357321218946314
28.0,0.2208857142857142,0.050625,0.1299,1.147,3.78,28.0,0.0066765941,0.0149293183,5.2888255903,43946464.29946241,0,5.496003032523647e-09
25.55,0.2208857142857142,0.050625,0.3338,1.558,3.14,25.55,0.0206326484,0.0461360043,1.1154524861,54524685.627982095,0,1.3991461968068966e-05
25.99,0.2208857142857142,0.050625,0.6065,2.594,1.18,25.99,0.0168482569,0.0376738478,7.1465535979,5621213.926436928,0,4.762159707701995e-06
28.43,0.2208857142857142,0.050625,0.2881,1.306,1.19,28.43,0.0054771543,0.0122472894,7.7313644873,3910591.170335625,0,2.2665483064577176e-09
26.79,0.2208857142857142,0.050625,0.4586,1.228,31.2,26.79,0.0116561459,0.0260639347,21.0972128277,5063541.011959044,0,3.7085623393538644e-07
21.26,0.2208857142857142,0.050625,0.689,2.094,6.65,21.26,0.1487835705,0.3326901775,17.5611867728,49699887.73707776,1,0.8697840464310117
