H,albedo,diameter_sigma,e,a,i,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_per_s,miss_distance_km,true_label,risk_score
25.58,0.2208857142857142,0.050625,0.3575,0.9297,19.77,25.58,0.0203495578,0.0455029946,13.6480034295,11397647.521069732,0,3.673989728305302e-05
27.8,0.2208857142857142,0.050625,0.4971,1.163,2.01,27.8,0.0073207399,0.016369672,22.1781653855,32976155.779947046,0,2.5800429639221524e-08
24.04,0.2208857142857142,0.050625,0.2821,0.9591,25.21,24.04,0.0413575665,0.0924783301,17.3430024795,36971497.79382569,0,0.004803824653783733
27.52,0.2208857142857142,0.050625,0.4707,0.8569,3.61,27.52,0.0083282735,0.0186225856,13.4955767153,284646.793630381,0,8.04058743937453e-08
25.29,0.2208857142857142,0.050625,0.3833,1.631,0.19,25.29,0.0232570687,0.0520043867,7.0151732006,5139243.951927667,0,0.00013708807206034532
18.29,0.2208857142857142,0.050625,0.3354,1.599,5.15,18.29,0.5841911542,1.3062911326,7.6402433621,26648300.157995164,0,0.9425332183137106
25.4,0.2208857142857142,0.050625,0.5168,0.8413,0.92,25.4,0.022108281,0.0494356193,11.7834695066,41739188.1190373,0,7.099285120529684e-05
24.41,0.2208857142857142,0.050625,0.6217,2.536,3.17,24.41,0.0348782733,0.0779901901,9.6731949586,6756956.003787431,0,0.0012055422362847131
27.93,0.2208857142857142,0.050625,0.3148,1.343,3.6,27.93,0.0068953287,0.0154184238,6.6318215048,708943.782337455,0,1.1644455891265078e-08
22.57,0.2208857142857142,0.050625,0.6413,2.22,9.99,22.57,0.0813869881,0.1819868378,13.9200780406,11424903.0262812,0,0.2670947510355133
24.4,0.2208857142857142,0.050625,0.3545,0.8115,6.28,24.4,0.0350392641,0.0783501764,12.7103954459,59299958.56059125,0,0.0017327152579505677
27.9,0.2208857142857142,0.050625,0.358,1.282,8.5,27.9,0.0069912523,0.0156329154,24.3388479445,70498067.3413676,0,8.940341267894858e-09
25.4,0.2208857142857142,0.050625,0.5168,0.8413,0.92,25.4,0.022108281,0.0494356193,12.04496786,67673610.47270647,0,4.4415970649515544e-05
26.87,0.2208857142857142,0.050625,0.2794,0.8654,35.33,26.87,0.0112345318,0.0251211767,23.5874574608,49203705.27676829,0,1.896605518405899e-07
27.03,0.2208857142857142,0.050625,0.6697,2.5,8.77,27.03,0.0104365024,0.0233367288,15.481159451,1543340.009341596,0,1.3682640080437463e-07
23.18,0.2208857142857142,0.050625,0.5325,0.9939,9.35,23.18,0.0614546821,0.1374168468,11.0115769909,47266886.60680301,0,0.05256687476168135
25.23,0.2208857142857142,0.050625,0.5728,2.33,0.46,25.23,0.0239086457,0.0534613571,7.3103291233,2248832.194823476,0,9.289768243260438e-05
26.2,0.2208857142857142,0.050625,0.4367,0.7942,0.41,26.2,0.0152951935,0.0342010925,14.8116606962,67762561.05205293,0,3.831986199734309e-06
25.51,0.2208857142857142,0.050625,0.1418,0.9558,8.7,25.51,0.0210162379,0.0469937366,6.3343361342,26746165.87280641,0,5.454207717543751e-05
27.3,0.2208857142857142,0.050625,0.7415,1.663,0.96,27.3,0.0092162655,0.0206081961,23.7475456138,1013173.834738056,0,1.7738121693685953e-07
24.05,0.2208857142857142,0.050625,0.3938,0.8023,5.78,24.05,0.0411675457,0.0920534307,7.8250082603,19422661.52235101,0,0.007930925535945103
20.16,0.2208857142857142,0.050625,0.6158,1.095,2.56,20.16,0.2469192656,0.5521282628,16.5489937942,18491518.45292493,1,0.992454091922895
24.62,0.2208857142857142,0.050625,0.3864,0.7865,4.3,24.62,0.0316632126,0.0708010957,25.1589711844,74780501.70005646,0,0.0015611213920579136
21.87,0.2208857142857142,0.050625,0.4498,0.8363,26.25,21.87,0.1123453177,0.2512117673,20.7132427233,28772488.99327206,0,0.7550786859247126
25.99,0.2208857142857142,0.050625,0.2496,1.263,3.94,25.99,0.0168482569,0.0376738478,5.6594166059,6059420.495177028,0,1.2856122086630788e-05
27.07,0.2208857142857142,0.050625,0.5433,1.849,10.23,27.07,0.0102460147,0.0229107855,14.6231490483,2858211.533656467,0,1.7012771285537637e-07
25.46,0.2208857142857142,0.050625,0.1773,1.02,28.84,25.46,0.021505769,0.0480883614,15.5270712629,3932565.810896943,0,6.111046336573615e-05
25.73,0.2208857142857142,0.050625,0.4056,0.9625,5.56,25.73,0.0189913123,0.0424658654,11.32472094,12682643.198842006,0,3.3802696515139116e-05
25.76,0.2208857142857142,0.050625,0.4956,1.884,2.04,25.76,0.0187307418,0.0418832119,9.2944221651,7804111.772604911,0,1.939493261087538e-05
21.04,0.2208857142857142,0.050625,0.6206,2.026,5.88,21.04,0.1646474378,0.3681628631,12.9506271944,25223873.505864896,0,0.9345092503652248
27.0,0.2208857142857142,0.050625,0.3543,1.577,2.82,27.0,0.0105816886,0.023661375,13.1045784138,39363374.81371255,0,2.3191444660680413e-07
27.2,0.2208857142857142,0.050625,0.4647,1.495,1.59,27.2,0.0096506147,0.0215794305,16.8802770314,25876391.91871639,0,1.703584603377565e-07
23.55,0.2208857142857142,0.050625,0.1618,1.024,24.41,23.55,0.0518268695,0.1158884032,12.6054400536,27217079.427778862,0,0.024718588859503367
26.34,0.2208857142857142,0.050625,0.2902,1.125,6.89,26.34,0.0143401923,0.0320656449,9.6600672933,4122617.562907668,0,4.285952965990617e-06
22.7,0.2208857142857142,0.050625,0.606,0.8184,8.3,22.7,0.0766575574,0.1714115092,21.0701438698,25507255.77861974,0,0.41210927737616143
25.23,0.2208857142857142,0.050625,0.2573,0.9439,3.15,25.23,0.0239086457,0.0534613571,17.2889877087,45040141.68477718,0,0.00024123732667452843
28.36,0.2208857142857142,0.050625,0.3468,0.8417,3.04,28.36,0.0056565936,0.0126485278,17.9367434791,39492355.53910298,0,3.1029414948719303e-09
22.77,0.2208857142857142,0.050625,0.5414,1.951,3.8,22.77,0.0742258153,0.1659739687,9.7224624383,18516683.61213909,0,0.2000713659473397
24.86,0.2208857142857142,0.050625,0.3795,1.532,5.48,24.86,0.0283501249,0.0633928065,17.9162691819,54248249.064653054,0,0.000414535499606115
24.77,0.2208857142857142,0.050625,0.226,1.212,29.42,24.77,0.0295498293,0.0660754271,16.332283291,7004295.272768714,0,0.0005425491914624724
26.45,0.2208857142857142,0.050625,0.5373,2.189,5.2,26.45,0.0136318556,0.0304817558,8.024219934,1240453.734768057,0,1.1710099643137976e-06
24.13,0.2208857142857142,0.050625,0.3732,1.174,14.19,24.13,0.0396784754,0.0887237683,14.8538292618,8032814.692453713,0,0.007017907113381107
27.41,0.2208857142857142,0.050625,0.5218,1.895,1.36,27.41,0.0087610261,0.01959025,11.3711462858,1106122.566758149,0,6.523546936926459e-08
21.7,0.2208857142857142,0.050625,0.3743,1.33,9.9,21.7,0.1214940408,0.2716689341,21.9338338418,56689685.62986264,1,0.8644831013275192
24.06,0.2208857142857142,0.050625,0.3292,1.461,6.89,24.06,0.040978398,0.0916304836,6.5820304362,10495408.495462935,0,0.006553747085660783
26.1,0.2208857142857142,0.050625,0.3827,1.78,7.23,26.1,0.0160160338,0.0358129403,5.2756726686,17029540.53633597,0,3.609044815768433e-06
24.85,0.2208857142857142,0.050625,0.4818,1.829,2.35,24.85,0.0284809831,0.0636854144,10.5032478698,12122027.664341647,0,0.00048110572287127993
21.83,0.2208857142857142,0.050625,0.4401,0.8791,3.38,21.83,0.1144339731,0.2558821427,16.1458794157,18470361.050567634,1,0.9070253495681034
25.73,0.2208857142857142,0.050625,0.4209,1.721,12.76,25.73,0.0189913123,0.0424658654,9.1626686835,2732956.677856477,0,1.6639256935662597e-05
23.31,0.2208857142857142,0.050625,0.1881,1.371,11.1,23.31,0.0578835257,0.1294314984,6.009289415,16294692.47658804,0,0.06301628540649548
26.73,0.2208857142857142,0.050625,0.4085,1.6,15.65,26.73,0.011982708,0.0267941497,14.079537012,19318931.780472785,0,4.454176815111333e-07
24.35,0.2208857142857142,0.050625,0.2749,0.9867,13.48,24.35,0.0358554334,0.0801751865,13.7428317839,15708940.460785192,0,0.0036631056064055983
27.15,0.2208857142857142,0.050625,0.2923,1.293,4.98,27.15,0.0098754064,0.02208208,7.9959793144,650060.893842069,0,2.2123838400936874e-07
20.92,0.2208857142857142,0.050625,0.5575,1.01,16.5,20.92,0.1740022951,0.38908096,22.0264590416,25973553.99994609,0,0.9713003827188705
26.9,0.2208857142857142,0.050625,0.3219,1.34,10.47,26.9,0.0110803882,0.0247765013,6.6609843032,53051609.23989508,0,1.3051913805934186e-07
25.0,0.2208857142857142,0.050625,0.2826,0.8028,15.44,25.0,0.02658,0.0594346868,14.5809732707,61269520.135237455,0,0.00017613509577660806
26.45,0.2208857142857142,0.050625,0.1683,1.086,11.12,26.45,0.0136318556,0.0304817558,19.3208543055,68965285.51585679,0,1.7109641192185317e-06
26.11,0.2208857142857142,0.050625,0.6827,0.7244,6.67,26.11,0.0159424468,0.0356483948,15.244067355,36194566.94069976,0,4.725722772586768e-06
29.77,0.2208857142857142,0.050625,0.4091,1.495,4.88,29.77,0.0029549829,0.0066075427,10.5730915824,162056.97900508,0,1.2544156183679277e-11
23.06,0.2208857142857142,0.050625,0.4175,1.593,6.49,23.06,0.0649463841,0.1452245297,15.6624345918,39192210.37622102,0,0.1226326995006049
24.09,0.2208857142857142,0.050625,0.2611,1.399,19.98,24.09,0.0404161533,0.0903732663,11.4395894773,11076700.56492726,0,0.004887519521797765
28.17,0.2208857142857142,0.050625,0.0678,1.069,2.99,28.17,0.0061738344,0.0138051134,2.6142830105,690415.173590948,0,6.63037369203852e-09
27.81,0.2208857142857142,0.050625,0.2149,0.9824,1.93,27.81,0.0072871041,0.0162944602,6.8057089383,31470147.260833327,0,1.5804964857342063e-08
24.2,0.2208857142857142,0.050625,0.2416,1.189,5.64,24.2,0.0384197891,0.0859092601,8.5119706044,72927066.57902199,0,0.0020772162647258088
25.4,0.2208857142857142,0.050625,0.1583,0.9848,5.16,25.4,0.022108281,0.0494356193,4.2041819764,21922798.60129268,0,8.703521830376396e-05
23.12,0.2208857142857142,0.050625,0.4944,1.602,2.71,23.12,0.0631764148,0.1412667581,18.4231377493,32662928.14869552,0,0.14430407129963516
26.24,0.2208857142857142,0.050625,0.5796,2.505,5.0,26.24,0.0150160248,0.0335768522,6.9448280968,10794415.996463116,0,1.5644225154462776e-06
19.49,0.2208857142857142,0.050625,0.4636,1.715,6.48,19.49,0.3361669212,0.7516920875,14.1497502192,26800560.540965848,0,0.9902474428038632
27.7,0.2208857142857142,0.050625,0.602,1.563,0.77,27.7,0.0076657557,0.0171411509,17.9049167221,1629837.617453892,0,3.661143865425811e-08
27.04,0.2208857142857142,0.050625,0.417,1.597,4.75,27.04,0.010388551,0.0232295062,8.576644054,1405234.531950949,0,2.38657199419201e-07
24.84,0.2208857142857142,0.050625,0.3277,1.266,3.85,24.84,0.0286124454,0.0639793729,8.644102739,4137636.111951004,0,0.0008010524237248354
24.73,0.2208857142857142,0.050625,0.5156,2.236,3.14,24.73,0.0300992017,0.067303861,5.9750649012,11171388.4918644,0,0.0004035909831194384
21.36,0.2208857142857142,0.050625,0.3121,1.202,25.2,21.36,0.1420872067,0.317716653,14.8837579791,13979193.26258096,0,0.9089677490713881
25.1,0.2208857142857142,0.050625,0.5967,2.525,3.27,25.1,0.0253837029,0.0567596853,15.981936482,43759953.63375309,0,9.307140141950415e-05
28.19,0.2208857142857142,0.050625,0.2063,1.235,1.77,28.19,0.0061172324,0.0136785474,3.9500521372,278598.132872245,0,5.244082243844209e-09
28.31,0.2208857142857142,0.050625,0.5909,2.435,0.82,28.31,0.0057883526,0.0129431498,7.4557831385,2096621.912179453,0,1.2665653034753855e-09
24.71,0.2208857142857142,0.050625,0.4857,2.125,1.82,24.71,0.0303777061,0.0679266159,5.8563043276,14427477.297356378,0,0.000478933841019182
26.8,0.2208857142857142,0.050625,0.4881,1.973,4.03,26.8,0.0116025908,0.0259441818,7.5289688996,1023936.189741809,0,4.1086677575118977e-07
24.07,0.2208857142857142,0.050625,0.1497,0.9745,9.31,24.07,0.0407901194,0.0912094798,14.8124499099,52057739.48438224,0,0.007854252063652926
28.66,0.2208857142857142,0.050625,0.3712,1.482,0.48,28.66,0.0049266871,0.0110164072,7.8383759054,854413.708551823,0,8.519049205538821e-10
26.27,0.2208857142857142,0.050625,0.178,0.9653,12.67,26.27,0.0148099972,0.0331161605,8.2505388631,30936179.47523777,0,2.944812900972364e-06
22.68,0.2208857142857142,0.050625,0.4636,1.605,31.25,22.68,0.077366861,0.1729975604,24.5960186565,37384908.81480904,0,0.17349912188264946
26.51,0.2208857142857142,0.050625,0.2404,0.8376,6.42,26.51,0.0132603497,0.0296510433,10.8004834342,50945763.227769926,0,1.3343377256649959e-06
28.2,0.2208857142857142,0.050625,0.34,1.024,9.63,28.2,0.0060891262,0.0136157002,14.4349590277,23826552.446920566,0,3.898048265692023e-09
26.24,0.2208857142857142,0.050625,0.2076,1.42,11.61,26.24,0.0150160248,0.0335768522,6.194052301,20890506.757160097,0,2.793290139863174e-06
30.77,0.2208857142857142,0.050625,0.2552,0.9113,7.65,30.77,0.0018644682,0.0041690776,9.2674309191,27855.467469101,0,4.1061862051952283e-13
22.01,0.2208857142857142,0.050625,0.6734,2.722,2.96,22.01,0.1053307015,0.2355266087,14.2370224289,9206432.018369963,1,0.6535295265352737
26.2,0.2208857142857142,0.050625,0.4508,0.7919,8.25,26.2,0.0152951935,0.0342010925,25.9796805031,65639675.52837927,0,5.673802696081053e-06
22.5,0.2208857142857142,0.050625,0.39,1.693,11.86,22.5,0.0840533402,0.1879489824,6.9241664946,27338980.703247704,0,0.26765694937195483
23.12,0.2208857142857142,0.050625,0.2892,1.187,11.84,23.12,0.0631764148,0.1412667581,12.0852264257,20430381.24314568,0,0.12925762943844665
25.85,0.2208857142857142,0.050625,0.4306,1.345,19.01,25.85,0.0179702855,0.0401827799,15.1578979794,3268649.252094196,0,1.3826059422500557e-05
21.49,0.2208857142857142,0.050625,0.6657,0.8783,23.31,21.49,0.1338304618,0.2992540101,17.3279837746,66336716.09243677,0,0.6930305683164734
23.33,0.2208857142857142,0.050625,0.5903,2.558,16.42,23.33,0.0573528464,0.1282448632,12.0770894551,7538488.472434784,0,0.02386663067510802
26.83,0.2208857142857142,0.050625,0.2137,0.8428,3.32,26.83,0.0114433973,0.0255882143,3.9539413554,3061344.572213602,0,7.850670510985716e-07
25.3,0.2208857142857142,0.050625,0.3363,1.233,11.05,25.3,0.0231502122,0.0517654482,11.333737858,1242306.04063461,0,0.00014338022384609593
27.35,0.2208857142857142,0.050625,0.369,0.7681,1.62,27.35,0.0090064777,0.0201390963,13.5119795621,28557190.74568525,0,1.2216174039628359e-07
25.4,0.2208857142857142,0.050625,0.2472,1.302,6.85,25.4,0.022108281,0.0494356193,4.3449365227,54092292.86630402,0,3.2458170381601006e-05
25.01,0.2208857142857142,0.050625,0.4293,0.9951,31.91,25.01,0.026457876,0.0591616093,18.4209961762,11901577.04171523,0,0.00016900027287605892
22.81,0.2208857142857142,0.050625,0.307,0.9602,40.9,22.81,0.0728710415,0.1629446024,27.1442652276,52544012.61170248,0,0.12276597809934299
23.02,0.2208857142857142,0.050625,0.3439,1.575,6.35,23.02,0.0661538275,0.1479244553,8.1651893234,18663027.429270856,0,0.13716637422827122
22.67,0.2208857142857142,0.050625,0.5621,1.045,15.45,22.67,0.0777239702,0.1737960809,28.7456838368,57029895.27149971,0,0.3279737371205761
23.7,0.2208857142857142,0.050625,0.2071,1.411,29.0,23.7,0.0483676488,0.1081533507,16.2696775182,32116699.590950925,0,0.011184164655654794
28.62,0.2208857142857142,0.050625,0.1658,1.093,5.76,28.62,0.005018281,0.0112212175,6.0965970149,366503.771096768,0,1.1607270953217277e-09
24.02,0.2208857142857142,0.050625,0.16,1.291,14.14,24.02,0.0417402433,0.0933340215,13.1234619456,58127216.561731935,0,0.0048727276102076
24.0,0.2208857142857142,0.050625,0.531,1.957,4.5,24.0,0.0421264611,0.0941976306,9.1718162956,13467363.418581616,0,0.005682429589158279
26.13,0.2208857142857142,0.050625,0.5565,2.012,6.1,26.13,0.0157962856,0.0353215683,12.438489461,3879002.547859822,0,4.781062985004336e-06
23.14,0.2208857142857142,0.050625,0.4694,2.217,17.75,23.14,0.06259721,0.1399716167,10.5363754985,26716570.08843624,0,0.035808217605756205
26.03,0.2208857142857142,0.050625,0.2448,1.008,7.1,26.03,0.0165407416,0.0369862226,9.1139227197,4530223.722781611,0,1.4056074881415302e-05
28.47,0.2208857142857142,0.050625,0.215,0.9147,9.15,28.47,0.005377185,0.0120237511,9.8812766042,44373131.53178155,0,9.596066630330452e-10
24.4,0.2208857142857142,0.050625,0.205,0.8772,29.84,24.4,0.0350392641,0.0783501764,18.8163320956,50627538.86310273,0,0.0011766426728910995
21.3,0.2208857142857142,0.050625,0.4068,1.258,33.45,21.3,0.1460679643,0.3266178974,25.0540423588,45169847.79527944,0,0.8732553293415779
22.51,0.2208857142857142,0.050625,0.3092,1.58,18.36,22.51,0.0836671502,0.1870854353,9.491480233,73098359.580923,0,0.13547221090164316
27.59,0.2208857142857142,0.050625,0.5487,1.762,0.95,27.59,0.0080640828,0.0180318372,13.4611357539,274971.252192391,0,4.102971986719984e-08
26.23,0.2208857142857142,0.050625,0.3892,1.534,15.55,26.23,0.0150853356,0.0337318359,11.6874249252,4490354.79836216,0,3.231563474190941e-06
23.22,0.2208857142857142,0.050625,0.1598,0.9635,12.75,23.22,0.0603330078,0.1349087066,16.0467581622,48729611.79467219,0,0.10172440603976321
25.92,0.2208857142857142,0.050625,0.3114,1.489,17.65,25.92,0.0174002295,0.038908096,10.9984711203,8466285.830377685,0,9.104664636713607e-06
25.25,0.2208857142857142,0.050625,0.6622,1.403,3.88,25.25,0.0236894499,0.0529712204,23.4176067095,10787576.60624352,0,0.0002477567244890142
24.24,0.2208857142857142,0.050625,0.5191,2.127,6.85,24.24,0.0377185489,0.0843412394,8.6603532585,12126669.117775844,0,0.0021426912260272576
25.0,0.2208857142857142,0.050625,0.1441,1.098,9.7,25.0,0.02658,0.0594346868,15.5261664743,54117496.9060046,0,0.0003251448010970154
21.38,0.2208857142857142,0.050625,0.4968,1.253,3.95,21.38,0.1407845434,0.3148038092,15.3184115285,10433838.141072148,0,0.9568137930771241
26.86,0.2208857142857142,0.050625,0.4547,1.889,1.68,26.86,0.011286388,0.0252371308,5.340567986,7392515.17930744,0,3.1347065433631396e-07
28.1,0.2208857142857142,0.050625,0.4088,1.47,2.17,28.1,0.0063760979,0.0142573883,19.797863524,52689144.83568511,0,5.060088675074978e-09
24.3,0.2208857142857142,0.050625,0.0915,1.1,21.38,24.3,0.0366906138,0.0820427065,19.8822867801,73699997.43942049,0,0.0019703474275619454
28.29,0.2208857142857142,0.050625,0.2273,1.114,4.94,28.29,0.0058419115,0.0130629113,6.6760897715,730396.745206509,0,3.7581555521021484e-09
26.79,0.2208857142857142,0.050625,0.5361,1.813,8.39,26.79,0.0116561459,0.0260639347,13.1083463722,2205417.800885025,0,4.848209216413827e-07
29.24,0.2208857142857142,0.050625,0.1195,0.9212,0.38,29.24,0.0037718549,0.0084341239,3.4796422378,22942119.098353505,0,9.857097797125415e-11
25.8,0.2208857142857142,0.050625,0.2237,1.277,6.64,25.8,0.0183888672,0.0411187571,7.3570169337,70811221.729502,0,7.628997720042621e-06
28.51,0.2208857142857142,0.050625,0.2706,1.236,3.93,28.51,0.0052790403,0.0118042929,7.3772193077,767637.190170699,0,1.6138039203044583e-09
25.55,0.2208857142857142,0.050625,0.6164,2.744,6.49,25.55,0.0206326484,0.0461360043,8.8767958947,10009441.594982589,0,1.639604725733637e-05
26.0,0.2208857142857142,0.050625,0.2664,0.8357,9.54,26.0,0.0167708462,0.0375007522,8.9078440722,25779029.54089853,0,9.482083529420678e-06
23.84,0.2208857142857142,0.050625,0.0389,1.131,6.97,23.84,0.0453476699,0.1014004725,2.9816413707,26220037.344714176,0,0.015029375212249126
28.95,0.2208857142857142,0.050625,0.0629,1.019,9.66,28.95,0.0043107712,0.0096391775,8.8440074957,30376268.067991927,0,2.4004332297364036e-10
24.43,0.2208857142857142,0.050625,0.0145,1.054,22.52,24.54,0.0328514828,0.0734581487,12.1603993532,19868114.686712854,0,0.001917624686079735
25.74,0.2208857142857142,0.050625,0.3881,0.8946,1.47,25.74,0.0189040552,0.0422707525,11.7903428677,3678553.474607931,0,5.250028545547904e-05
26.68,0.2208857142857142,0.050625,0.3352,1.126,20.46,26.68,0.0122618211,0.0274182656,11.7649880811,21588553.05273783,0,4.800369802001717e-07
24.74,0.2208857142857142,0.050625,0.2866,1.325,24.87,24.74,0.0299609084,0.0669946278,14.6901632529,8595737.400104146,0,0.0005602210228830395
28.23,0.2208857142857142,0.050625,0.3951,1.48,0.37,28.23,0.0060055803,0.0134288857,8.4979993197,756047.903020947,0,4.219757069028586e-09
21.41,0.2208857142857142,0.050625,0.2642,1.111,20.49,21.41,0.138852907,0.310484539,16.6276412511,29919477.55425321,0,0.9159365235092858
24.66,0.2208857142857142,0.050625,0.1982,1.094,3.89,24.66,0.0310852938,0.0695088301,5.6381949117,6329845.228743527,0,0.0015674839682004063
26.95,0.2208857142857142,0.050625,0.4612,0.7181,7.94,26.95,0.0108281678,0.0242125192,9.8108693122,2145823.993391825,0,4.153529443623673e-07
27.51,0.2208857142857142,0.050625,0.1448,0.943,5.02,27.51,0.008366715,0.0187085435,9.3718033764,25577834.3781896,0,6.25173333616222e-08
24.65,0.2208857142857142,0.050625,0.2953,0.905,38.12,24.65,0.031228777,0.0698296682,20.5519111061,903944.68068139,0,0.0007959352597327628
24.48,0.2208857142857142,0.050625,0.6381,2.391,8.12,24.48,0.0337718597,0.0755161741,13.7786888273,4944899.234720913,0,0.0010553192005602569
25.63,0.2208857142857142,0.050625,0.2148,0.8213,14.7,25.63,0.0198863453,0.04446722,10.0380860126,18804224.6458408,0,3.675829249479401e-05
28.42,0.2208857142857142,0.050625,0.318,1.196,6.66,28.42,0.0055024357,0.0123038203,9.2318534647,346160.689785031,0,2.0969499254138305e-09
24.62,0.2208857142857142,0.050625,0.3531,1.617,12.91,24.62,0.0316632126,0.0708010957,7.8893429873,15073459.554870768,0,0.0006678142830474508
27.1,0.2208857142857142,0.050625,0.2481,1.108,13.67,27.1,0.0101054342,0.0225964377,19.9380134892,58204669.22830765,0,1.5615216755633678e-07
23.44,0.2208857142857142,0.050625,0.4528,1.281,12.12,23.44,0.0545198907,0.1219101818,16.320132597,6659490.612876298,0,0.06361120939207097
23.63,0.2208857142857142,0.050625,0.5176,2.211,6.41,23.63,0.049952241,0.1116966065,7.3451859329,16611229.75127631,0,0.012766811322093681
24.75,0.2208857142857142,0.050625,0.5634,1.257,3.63,24.75,0.0298232505,0.0666868155,31.9097739848,66442206.70596342,0,0.0011443928905718848
26.2,0.2208857142857142,0.050625,0.2395,1.277,1.11,26.2,0.0152951935,0.0342010925,18.1272738296,69612402.84720981,0,5.1612700636580535e-06
22.83,0.2208857142857142,0.050625,0.3568,1.321,13.43,22.83,0.0722029558,0.1614507173,9.9469518563,14746789.76213102,0,0.2054284738315494
26.31,0.2208857142857142,0.050625,0.2189,0.9128,1.99,26.31,0.0145396843,0.0325117225,16.2748078974,47042760.52906834,0,5.46434073992802e-06
26.47,0.2208857142857142,0.050625,0.1403,0.9746,3.23,26.47,0.013506878,0.0302022973,3.2541498438,4980597.101248598,0,2.8602574818569193e-06
22.29,0.2208857142857142,0.050625,0.5509,0.6709,28.45,22.29,0.0925880583,0.2070331923,22.6963354878,35272064.07577297,0,0.46008119579574486
19.22,0.216,0.08,0.4974,1.191,2.02,19.22,0.3806755436,0.8512163929,11.3800144723,18287995.57727836,1,0.9942647328688811
28.9,0.2208857142857142,0.050625,0.262,1.091,2.53,28.9,0.004411182,0.0098637028,7.2694805545,50451719.20917297,0,1.7336809054934348e-10
25.8,0.2208857142857142,0.050625,0.3603,0.8087,2.36,25.8,0.0183888672,0.0411187571,12.9057804777,23140536.15381761,0,3.3245529956730285e-05
20.51,0.317,0.05,0.3307,1.269,7.29,20.51,0.2101623793,0.4699373665,7.250232849,25586138.42131521,1,0.9643446414731139
23.61,0.2208857142857142,0.050625,0.1971,1.198,18.72,23.61,0.0504144434,0.1127301225,16.8130284141,46375935.32391941,0,0.02233772815450439
27.16,0.2208857142857142,0.050625,0.4267,1.606,0.74,27.16,0.009830033,0.0219806221,8.9925963066,1951844.429625954,0,1.8919874124106082e-07
22.55,0.2208857142857142,0.050625,0.355,1.582,34.1,22.55,0.0821400526,0.1836707413,18.3819178513,27833845.580317143,0,0.19951321793197802
25.3,0.2208857142857142,0.050625,0.4022,0.7522,3.5,25.3,0.0231502122,0.0517654482,25.7941190379,73557953.63354445,0,0.0001655699197134677
